Race,Date,Place,Time,Category,Sex,Country,Lane,Person 1,Person 2,split time 1,split time 2,split time 3,Total Time,Final Rank,Air Temp,Wind Speed,Wind Direction,Day,Month,Year,Competiton Type_WORLD CHAMP,Competiton Type_WORLD CUP,Competiton Type_WORLDCHAMPIONSHIPS,Competiton Type_WORLDCHAMPIONSHIPS  ,Competiton Type_WORLDCUP,Competition Round_FINAL A,Competition Round_FINAL B,Competition Round_FINAL C,Competition Round_HEAT,Competition Round_SEMI FINAL,Competition Round_SEMIFINAL
31.05.2013_10:29,31.05.2013,Poznan,10:29,SEN,M,KAZ,3.0,DERGUNOV ALEXEY,ALEXEYEV YEVGENIY,51,,167,224,4.0,15.0,1 m/s,W,31.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
31.05.2013_10:29,31.05.2013,Poznan,10:29,SEN,M,AUT,6.0,WECHT ALEXANDER,TRUMMER ERWIN,53,112,,230,5.0,15.0,1 m/s,W,31.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
31.05.2013_10:29,31.05.2013,Poznan,10:29,SEN,M,NED,7.0,KALF WALTER,HOOGERS JASPER,,,170,231,6.0,15.0,1 m/s,W,31.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
31.05.2013_10:29,31.05.2013,Poznan,10:29,SEN,M,POL,5.0,STABNO BARTOSZ,WARSZAWSKI OSKAR,54,112,171,232,7.0,15.0,1 m/s,W,31.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
31.05.2013_14:58,31.05.2013,Poznan,14:58,SEN,M,SWE,8.0,HEMSELIUS DANIEL,BARSK JOHANNES,49,102,155,210,1.0,19.0,2 m/s,NE,31.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
31.05.2013_14:58,31.05.2013,Poznan,14:58,SEN,M,ARG,6.0,DE GESUS JUAN PABLO,CARRERAS GONZALO,50,102,,211,3.0,19.0,2 m/s,NE,31.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
31.05.2013_14:58,31.05.2013,Poznan,14:58,SEN,M,CAN,2.0,CLARKE ROB,JESSOP ANDREW,51,,158,214,4.0,19.0,2 m/s,NE,31.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
31.05.2013_14:58,31.05.2013,Poznan,14:58,SEN,M,NED,7.0,KALF WALTER,HOOGERS JASPER,50,104,159,214,5.0,19.0,2 m/s,NE,31.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
31.05.2013_14:58,31.05.2013,Poznan,14:58,SEN,M,POL,1.0,STABNO BARTOSZ,WARSZAWSKI OSKAR,51,,,215,6.0,19.0,2 m/s,NE,31.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
31.05.2013_14:58,31.05.2013,Poznan,14:58,SEN,M,KAZ,4.0,DERGUNOV ALEXEY,ALEXEYEV YEVGENIY,48,105,,215,7.0,19.0,2 m/s,NE,31.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
31.05.2013_14:58,31.05.2013,Poznan,14:58,SEN,M,AUT,3.0,WECHT ALEXANDER,TRUMMER ERWIN,50,107,,217,8.0,19.0,2 m/s,NE,31.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
17.05.2013_10:58,17.05.2013,RACICE,10:58,SEN,M,RUS,5.0,SPESIVTSEV Maxim,CHERVOV Nikolay,51,89,151,,2.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_10:58,17.05.2013,RACICE,10:58,SEN,M,SRB,9.0,PAJIC Dejan,STANOJEVIC Dusko,49,98,154,,3.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_10:58,17.05.2013,RACICE,10:58,SEN,M,CZE,7.0,ADAM Jakub,ODVÁRKO Michael,65,101,155,,4.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_10:58,17.05.2013,RACICE,10:58,SEN,M,GBR,8.0,RUTHERFORD Edward,DANIELS Andrew,50,102,159,213,5.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_10:58,17.05.2013,RACICE,10:58,SEN,M,KGZ,2.0,PAROL Aleksandr,DOROFEEV Igor,70,106,165,223,7.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_10:58,17.05.2013,RACICE,10:58,SEN,M,CHN,6.0,XUE Yuan,ZHAO Yuefeng,74,112,168,225,8.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_10:58,17.05.2013,RACICE,10:58,SEN,M,HKG,3.0,KWOK Ka Wai,NG Ka Chun,72,109,175,240,,,,,17.0,5.0,2013.0,False,False,False,False,False,False,False,False,False,False,False
17.05.2013_11:05,17.05.2013,RACICE,11:05,SEN,M,CZE,7.0,DAVÍDEK Pavel,KUČERA Patrik,51,,154,207,2.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:05,17.05.2013,RACICE,11:05,SEN,M,NZL,4.0,BATS Jasper,FITZGERALD Darryl,50,102,155,213,3.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:05,17.05.2013,RACICE,11:05,SEN,M,RUS,5.0,MEDVEDEV Ilya,RYAKHOV Anton,51,101,153,214,4.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:05,17.05.2013,RACICE,11:05,SEN,M,GBR,8.0,BOWLEY Mathew,TERRY Dean,52,104,159,215,5.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:05,17.05.2013,RACICE,11:05,SEN,M,KGZ,2.0,BONDAR Maksim,ALGIN Ilia,52,106,162,222,6.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:05,17.05.2013,RACICE,11:05,SEN,M,CHN,6.0,LI Kai,LIU Lifan,54,110,169,230,7.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:05,17.05.2013,RACICE,11:05,SEN,M,HKG,3.0,TSOI Yik San,NG Ka Nam,53,111,172,235,8.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:05,17.05.2013,RACICE,11:05,SEN,M,SRB,9.0,HOLPERT Ervin,TERZIC Dejan,55,113,178,244,,,,,17.0,5.0,2013.0,False,False,False,False,False,False,False,False,False,False,False
17.05.2013_11:12,17.05.2013,RACICE,11:12,SEN,M,CAN,1.0,VAN KOEVERDEN ADAM,REARDON BRADY,49,96,151,204,2.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:12,17.05.2013,RACICE,11:12,SEN,M,GER,4.0,RENDSCHMIDT Max,GROSS Marcus,47,96,151,205,3.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:12,17.05.2013,RACICE,11:12,SEN,M,KAZ,74.0,DERGUNOV ALEXEY,ALEXEYEV YEVGENIY,50,101,156,207,4.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:12,17.05.2013,RACICE,11:12,SEN,M,LTU,6.0,NEKRIOSIUS Ricardas,OLIJNIK Andrej,51,100,155,207,5.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:12,17.05.2013,RACICE,11:12,SEN,M,BLR,2.0,ZHYHADLA Dzianis,BIALKO Vitaliy,57,102,156,209,6.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:12,17.05.2013,RACICE,11:12,SEN,M,NOR,5.0,SALBU Daniel,SOLHAUG Jo Sondre,50,99,153,214,7.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:12,17.05.2013,RACICE,11:12,SEN,M,ITA,3.0,CECCHINI Riccardo,CHIERINI Edoardo,48,104,164,224,8.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:19,17.05.2013,RACICE,11:19,SEN,M,FRA,5.0,BURGER GUILLAUME,URBAN QUENTIN,48,,153,203,2.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:19,17.05.2013,RACICE,11:19,SEN,M,CAN,1.0,CLARKE ROB,JESSOP ANDREW,49,100,154,205,3.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:19,17.05.2013,RACICE,11:19,SEN,M,DEN,7.0,BOE Niels,AXELSEN William,52,99,154,205,4.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:19,17.05.2013,RACICE,11:19,SEN,M,BLR,2.0,LIAPIOSHKA Aliksandr,LITVINCHUK Artur,51,101,155,210,5.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:19,17.05.2013,RACICE,11:19,SEN,M,BEL,3.0,BROEKX Toon,BROEKX Piet,51,102,157,211,6.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_11:19,17.05.2013,RACICE,11:19,SEN,M,FIN,6.0,HAKALA Jeremy,NYKÄNEN Miika,53,103,158,211,7.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,True,False,False
17.05.2013_15:34,17.05.2013,RACICE,15:34,SEN,M,GER,6.0,RENDSCHMIDT Max,GROSS Marcus,50,93,152,205,1.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
17.05.2013_15:34,17.05.2013,RACICE,15:34,SEN,M,RUS,5.0,SPESIVTSEV Maxim,CHERVOV Nikolay,52,102,153,206,2.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
17.05.2013_15:34,17.05.2013,RACICE,15:34,SEN,M,BLR,2.0,ZHYHADLA Dzianis,BIALKO Vitaliy,50,103,156,207,3.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
17.05.2013_15:34,17.05.2013,RACICE,15:34,SEN,M,DEN,3.0,BOE Niels,AXELSEN William,51,102,155,208,4.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
17.05.2013_15:34,17.05.2013,RACICE,15:34,SEN,M,NZL,4.0,BATS Jasper,FITZGERALD Darryl,52,104,155,208,5.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
17.05.2013_15:34,17.05.2013,RACICE,15:34,SEN,M,NZL,8.0,FITZGERALD Jarrod,QUICKENDEN Zac,54,109,163,224,6.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
17.05.2013_15:34,17.05.2013,RACICE,15:34,SEN,M,BLR,7.0,LIAPIOSHKA Aliksandr,LITVINCHUK Artur,53,106,164,228,7.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
17.05.2013_15:34,17.05.2013,RACICE,15:34,SEN,M,CHN,1.0,LI Kai,LIU Lifan,55,112,171,233,8.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
17.05.2013_15:34,17.05.2013,RACICE,15:34,SEN,M,ITA,9.0,CECCHINI Riccardo,CHIERINI Edoardo,54,114,189,259,9.0,18.0,,E,17.0,5.0,2013.0,False,True,False,False,False,False,False,False,False,False,True
