Competition_ID,N1THeatCompetition,N1TSemiCompetition,N1TFinalACompetition,N1TCompetition,HeatTop3Avg,SemiTop3Avg,HeatTop9Avg,SemiTop9Avg
2,203,205,190,190,204.0,206.0,205.33333333333334,219.77777777777777
3,209,215,200,200,210.33333333333334,215.66666666666666,215.44444444444446,216.88888888888889
0,191,193,202,191,191.66666666666666,194.33333333333334,192.44444444444446,196.11111111111111
6,201,205,201,201,201.66666666666666,205.66666666666666,204.22222222222223,207.55555555555554
7,206,202,204,202,207.66666666666666,202.0,209.22222222222223,203.0
4,202,217,194,194,204.66666666666666,217.0,212.16666666666666,222.4
