Team_ID,Country,Person 1,Person 2
3,IRI,AGHAMIRZAEIJENAGHRAD Ali,FAZLOULA Saeid
4,KAZ,ALEXEYEV Yevgeniy,DERGUNOV Alexey
120,SVK,VLÈEK Erik,TARR Juraj
78,RUS,LUCHKIN Kirill,NIKOLAEV Pavel
2,CZE,ADAM Jakub,TREFIL Luká_
27,ARG,CÁCERES Juan Ignacio,DE TORRES Pablo
94,CAN,REARDON Brady,DUCHESNEAU Phillipe
32,KAZ,DERGUNOV Alexey,ALEXEYEV Yevgeniy
57,FRA,Hybois Arnaud ,Hubert Etienne 
35,ITA,Dressino Giulio,Torneo Matteo
95,GER,Rendschmidt Max,Gross Marcus
91,DEN,Pretzmann Casper,Stær Emil
45,TUR,Gyökös Layos,Marques Carlos
36,SRB,Dzigurski Marko,Palfi Krisztian
83,JPN,Mizumoto Keiji,Suzuki Yasuhiro
85,LTU,Nekriosius Ricardas,Olijnik Andrej
101,RUS,Sergeev Aleksandr,Vostrikov Alexey
17,BEL,Broekx Toon,Broekx Piet
15,GBR,Boyton Jonathon,Rutherford Edward
84,SVK,Mysak Denis,Linka Tibor
79,HUN,Mandrazhiev Vladislav,Spesivtsev Maxim
74,HUN,Li Zhenyu,Cai Chuyu
23,HUN,Cho Jeonghyun,Kim Jiwon
82,HUN,Miller Chris,Collins Stanton
111,HUN,Tay Zi Qiang,Lee Wei Liang Bill
120,SVK,Vlèek Erik,Tarr Juraj
88,HUN,Petrovics Máté,Gere Bálint
126,SRB,Zoric Milenko,Aleksic Aleksandar
5,EST,Alupere Kaarel,Tootsi Tarmo
73,CHN,Liu Chao,Wu Xiaojun
116,ROM,Turceag Catalin,Burciu Daniel
7,SLO,Apollonio Alan,Blazevic Simon
43,RSA,Glass Alasdair Stuart,Collopy Antony
74,CHN,Li Zhenyu,Cai Chuyu
23,KOR,Cho Jeonghyun,Kim Jiwon
111,SIN,Tay Zi Qiang,Lee Wei Liang Bill
15,GRB,Boyton Jonathon,Rutherford Edward
57,FRA,Hybois Arnaud,Hubert Etienne
79,RUS,Mandrazhiev Vladislav,Spesivtsev Maxim
3,IRA,Aghamirzaeijenaghrad Ali,Fazloula Saeid
82,USA,Miller Chris,Collins Stanton
106,AUS,STEWART Murray,CLEAR Jacob
7,SLO,APOLLONIO Alan,BLAZEVIC Simon
55,HUN,HUFNAGEL Tibor,CEINER Benjamin
34,SUI,DOMEISEN Stefan,SUMMERMATTER Andri
46,FIN,HAKALA Jeremy,NYKANEN Miika
12,KGZ,BONDAR Maksim,DOROFEEV Igor
54,NED,HOOGERS Jasper,KALF Walter
122,AUT,WECHT Alexander,TRUMMER Erwin
109,POL,SZANDRACH Pawel,KUJAWSKI Mariusz
35,ITA,DRESSINO Giulio,TORNEO Matteo
41,HUN,GACSAL Akos,ILYES Robert
