Date;Place;Time;Category;Sex;Country;Lane;Person 1;Person 2;split time 1;split time 2;split time 3;Total Time;Final Rank;Air Temp;Wind Speed;Wind Direction;Competiton Type;Competition Round
10.05.2013;SZEGED;15:24;SEN;M;KGZ;1;Parol Aleksandr;Dorofeev Igor;54.726;1:54.203;2:58.678;3:58.719;9;;;;WORLD CUP;SEMIFINAL
;;;;;;;;;;;;;;;;;;
10.05.2013;SZEGED;15:31;SEN;M;CZE;5;Havel Daniel;Štěrba Jan;50.133;1:45.562;2:40.974;3:35.035;1;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:31;SEN;M;SWE;3;Hemselius Daniel;Barsk Johannes;51.658;1:48.282;2:44.045;3:36.667;2;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:31;SEN;M;GRB;4;Rutherford Edward;Daniels Andrew;51.052;1:47.606;2:43.363;3:37.117;3;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:31;SEN;M;AUT;2;Wecht Alexander;Trummer Erwin;52.660;1:48.705;2:45.842;3:38.881;4;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:31;SEN;M;BLR;6;Zhyhadla Dzianis;Litvinchuk Artur;52.706;1:49.326;2:45.630;3:39.499;5;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:31;SEN;M;CZE;8;Davídek Pavel;Kučera Patrik;52.792;1:48.267;2:44.831;3:40.717;6;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:31;SEN;M;POL;1;Brzezinski Martin;Warszawski Oskar;53.562;1:49.575;2:47.515;3:41.155;7;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:31;SEN;M;HUN;7;Bozsik Gábor;Császár Gergely;54.462;1:51.138;2:46.988;3:41.863;8;;;;WORLD CUP;SEMIFINAL
10.05.2013;SZEGED;15:31;SEN;M;FIN;9;Hakala Jeremy;Nykänen Miika;55.231;1:52.593;2:50.006;3:49.399;9;;;;WORLD CUP;SEMIFINAL
;;;;;;;;;;;;;;;;;;
11.05.2013;SZEGED;10:01;SEN;M;NOR;7;Salbu Daniel;Solhaug Jo Sondre;49.733;1:42.012;2:35.242;3:26.226;1;;;;WORLD CUP;FINAL B
11.05.2013;SZEGED;10:01;SEN;M;CZE;2;Davídek Pavel;Kučera Patrik;49.075;1:41.521;2:36.711;3:28.848;2;;;;WORLD CUP;FINAL B
11.05.2013;SZEGED;10:01;SEN;M;DEN;1;Larsen Martin;Axelsen William;49.389;1:43.075;2:37.775;3:29.034;3;;;;WORLD CUP;FINAL B
11.05.2013;SZEGED;10:01;SEN;M;ARG;3;De Gesus Juan Pablo;Carreras Gonzalo;49.733;1:43.835;2:39.002;3:30.930;4;;;;WORLD CUP;FINAL B
11.05.2013;SZEGED;10:01;SEN;M;BLR;6;Zhyhadla Dzianis;Litvinchuk Artur;48.955;1:44.234;2:41.668;3:31.752;5;;;;WORLD CUP;FINAL B
11.05.2013;SZEGED;10:01;SEN;M;HUN;9;Bozsik Gábor;Császár Gergely;51.435;1:45.956;2:41.337;3:32.514;6;;;;WORLD CUP;FINAL B
11.05.2013;SZEGED;10:01;SEN;M;POR;5;Fernandes David;Ribeiro João;49.348;1:44.428;2:41.445;3:32.670;7;;;;WORLD CUP;FINAL B
11.05.2013;SZEGED;10:01;SEN;M;POL;8;Brzezinski Martin;Warszawski Oskar;52.040;1:46.554;2:42.960;3:33.432;8;;;;WORLD CUP;FINAL B
11.05.2013;SZEGED;10:01;SEN;M;AUT;4;Wecht Alexander;Trummer Erwin;50.293;1:45.243;2:42.503;3:35.874;9;;;;WORLD CUP;FINAL B
;;;;;;;;;;;;;;;;;;
11.05.2013;SZEGED;11:12;SEN;M;HUN;5;Dombi Rudolf;Kökény Roland;46.953;1:38.33;2:31.060;3:20.354;1;;;;WORLD CUP;FINAL A
11.05.2013;SZEGED;11:12;SEN;M;RUS;6;Medvedev Ilya;Ryakhov Anton;48.042;1:41.25;2:31.810;3:20.804;2;;;;WORLD CUP;FINAL A
11.05.2013;SZEGED;11:12;SEN;M;POL;3;Szandrach Pawel;Kujawski Mariusz;48.241;1:39.94;2:33.091;3:22.028;3;;;;WORLD CUP;FINAL A
11.05.2013;SZEGED;11:12;SEN;M;CZE;7;Havel Daniel;Štěrba Jan;48.140;1:40.50;2:33.329;3:23.084;4;;;;WORLD CUP;FINAL A
11.05.2013;SZEGED;11:12;SEN;M;CUB;1;Zulueta Arencibia Maikel;Riveaux Reiner Torres;47.876;1:41.87;2:35.911;3:26.900;5;;;;WORLD CUP;FINAL A
11.05.2013;SZEGED;11:12;SEN;M;SRB;8;Pajic Dejan;Stanojevic Dusko;47.695;1:40.03;2:34.980;3:27.410;6;;;;WORLD CUP;FINAL A
11.05.2013;SZEGED;11:12;SEN;M;SWE;2;Hemselius Daniel;Barsk Johannes;48.487;1:42.83;2:38.146;3:28.940;7;;;;WORLD CUP;FINAL A
11.05.2013;SZEGED;11:12;SEN;M;GRB;9;Rutherford Edward;Daniels Andrew;49.556;1:43.12;2:36.768;3:29.096;8;;;;WORLD CUP;FINAL A
11.05.2013;SZEGED;11:12;SEN;M;POR;4;Pimenta Fernando;Silva Emanuel;47.361;1:42.02;2:52.880;4:00.386;9;;;;WORLD CUP;FINAL A
;;;;;;;;;;;;;;;;;;
29.08.2013;DUISBURG;10:22;SEN;M;BLR;4;MIADZVEDZEU, Pavel;YURENIA, Aleh;44.69;1:32.49;2:21.70;3:10.751;1;;0,9 m/s;SSW;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:22;SEN;M;SVK;5;VLCEK, Erik;TARR, Juraj;44.41;1:32.84;2:22.49;3:12.458;2;;0,9 m/s;SSW;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:22;SEN;M;POL;7;SZANDRACH, Pawel;KUJAWSKI, Mariusz;45.64;1:33.83;02:23.79;03:13.046;3;;0,9 m/s;SSW;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:22;SEN;M;UKR;2;KOPYSTYNSKYI, Roman;BASHTOVYY, Serhiy;45.50;1:34.77;2:25.68;3:14.371;4;;0,9 m/s;SSW;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:22;SEN;M;CZE;6;ŠPICAR, Jakub;ŠLOUF, Radek;45.82;1:34.34;2:24.81;3:14.441;5;;0,9 m/s;SSW;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:22;SEN;M;NOR;3;SOLHAUG, Jo Sondre;SALBU, Daniel;46.85;1:36.16;2:26.24;3:14.564;6;;0,9 m/s;SSW;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:22;SEN;M;FIN;9;HAKALA, Jeremy;NYKÄNEN, Miika;47.38;1:37.27;2:29.39;3:21.191;7;;0,9 m/s;SSW;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:22;SEN;M;KOR;8;CHO, Jeonghyun;LEE, Jonghyun;46.90;1:38.22;2:34.38;3:28.267;8;;0,9 m/s;SSW;WORLD CHAMP;HEAT
;;;;;;;;;;;;;;;;;;
29.08.2013;DUISBURG;10:29;SEN;M;POR;7;SILVA, Emanuel;RIBEIRO, João;44.40;1:33.72;2:24.50;3:12.740;1;;1,1 m/s;SES;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:29;SEN;M;AUS;4;STEWART, Murray;CLEAR, Jacob;44.41;1:32.08;2:22.35;3:12.837;2;;1,1 m/s;SES;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:29;SEN;M;ESP;6;COSGAYA NORIEGA, Diego;PEREZ RIAL, Carlos;44.18;1:32.66;2:23.90;3:15.094;3;;1,1 m/s;SES;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:29;SEN;M;SRB;3;PAJIC, Dejan;STANOJEVIC, Dusko;44.61;1:33.75;2:24.73;3:15.358;4;;1,1 m/s;SES;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:29;SEN;M;ROU;8;PORCARASU, Iustin;COSTEA, Daniel;44.47;1:33.33;2:24.73;3:16.161;5;;1,1 m/s;SES;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:29;SEN;M;CUB;2;ZULUETA ARENCIBIA, Maikel;GARCIA RODRIGUEZ, Jorge A;44.12;1:33.60;2:26.23;3:17.661;6;;1,1 m/s;SES;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:29;SEN;M;SWE;5;HEMSELIUS, Daniel;NATHELL, Martin;45.99;1:36.39;2:28.30;3:19.754;7;;1,1 m/s;SES;WORLD CHAMP;HEAT
;;;;;;;;;;;;;;;;;;
29.08.2013;DUISBURG;10:22;SEN;M;HUN;6;DOMBI, Rudolf;KÖKÉNY, Roland;44.64;1:33.69;2:23.58;3:12.222;1;;2,7 m/s;SE;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:22;SEN;M;RUS;5;MEDVEDEV, Ilya ;RYAKHOV, Anton;45.23;1:33.93;2:23.33;3:13.001;2;;2,7 m/s;SE;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:22;SEN;M;CAN;4;VAN KOEVERDEN, Adam;REARDON, Brady;45.48;1:35.83;2:25.58;3:13.675;3;;2,7 m/s;SE;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:22;SEN;M;MEX;8;LABRADA REINOSA, Osvaldo;MONTALVO GARCIA, Carlos;45.52;1:35.45;02:26.18;3:15.456;4;;2,7 m/s;SE;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:22;SEN;M;EST;2;ALUPERE, Kaarel;TOOTSI, Tarmo;45.29;1:34.66;2:25.95;3:16.432;5;;2,7 m/s;SE;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:22;SEN;M;DEN;7;KERRN, Mads Herbert;SIMENSEN, Emil Staer;45.77;1:35.18;02:26.73;3:17.982;6;;2,7 m/s;SE;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:22;SEN;M;VEN;9;RAMOS, Jose Giovanny;AQUINO, Omar;45.10;1:34.73;2:26.99;3:19.941;7;;2,7 m/s;SE;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:22;SEN;M;LAT;3;ANDERSONS, Janis;ALKSNIS, Girts;47.67;1:39.42;2:36.51;3:34.335;8;;2,7 m/s;SE;WORLD CHAMP;HEAT
;;;;;;;;;;;;;;;;;;
29.08.2013;DUISBURG;10:43;SEN;M;GER;6;RENDSCHMIDT, Max;GROSS, Marcus;43.84;1:32.69;2:22.44;3:11.543;1;;1,9 m/s;EES;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:43;SEN;M;BEL;5;CAUWENBERGH, Olivier ;PANNECOUCKE, Laurens;45.25;1:33.48;2:23.47;3:12.781;2;;1,9 m/s;EES;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:43;SEN;M;LTU;7;NEKRIOSIUS, Ricardas;OLIJNIK, Andrej;45.99;1:35.17;2:24.65;3:14.440;3;;1,9 m/s;EES;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:43;SEN;M;ARG;3;DE GESÚS, Juan Pablo;CARRERAS, Gonzalo;45.09;1:34.34;2:25.03;3:15.370;4;;1,9 m/s;EES;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:43;SEN;M;ITA;8;BENASSI, Maximilian;RICCHETTI, Alberto;46.27;1:35.29;2:25.55;3:16.380;5;;1,9 m/s;EES;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:43;SEN;M;GBR;4;RUTHERFORD, Edward;DANIELS, Andrew;46.25;1:36.07;2:26.84;3:18.289;6;;1,9 m/s;EES;WORLD CHAMP;HEAT
29.08.2013;DUISBURG;10:43;SEN;M;KAZ;2;ALEXEYEV, Yevgeniy;DERGUNOV, Alexey;47.99;1:41.30;2:36.59;3:28.528;7;;1,9 m/s;EES;WORLD CHAMP;HEAT
;;;;;;;;;;;;;;;;;;
29.08.2013;DUISBURG;17:17;SEN;M;BEL;4;CAUWENBERGH, Olivier ;PANNECOUCKE, Laurens;46.10;1:37.06;2:28.56;3:16.371;1;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:17;SEN;M;POL;6;SZANDRACH, Pawel;KUJAWSKI, Mariusz;46.29;1:37.38;2:28.68;3:16.761;2;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:17;SEN;M;POR;5;SILVA, Emanuel;RIBEIRO, João;45.29;1:36.31;2:28.53;3:17.921;3;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:17;SEN;M;UKR;2;KOPYSTYNSKYI, Roman;BASHTOVYY, Serhiy;45.51;1:37.32;2:30.18;3:19.555;4;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:17;SEN;M;MEX;7;LABRADA REINOSA, Osvaldo;MONTALVO GARCIA, Carlos;45.40;1:36.90;2:29.64;3:19.707;5;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:17;SEN;M;CAN;3;VAN KOEVERDEN, Adam;REARDON, Brady;45.49;1:36.76;2:29.79;3:21.126;6;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:17;SEN;M;ROU;8;PORCARASU, Iustin;COSTEA, Daniel;45.54;1:37.88;2:31.12;3:22.432;7;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:17;SEN;M;GBR;9;RUTHERFORD, Edward;DANIELS, Andrew;46.27;1:38.15;2:32.41;3:26.909;8;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:17;SEN;M;VEN;1;RAMOS, Jose Giovanny;AQUINO, Omar;46.81;1:41.59;2:38.38;3:30.900;9;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
;;;;;;;;;;;;;;;;;;
29.08.2013;DUISBURG;17:10;SEN;M;BLR;5;MIADZVEDZEU, Pavel;YURENIA, Aleh;44.13;1:33.60;2:24.25;3:12.960;1;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:10;SEN;M;AUS;4;STEWART, Murray;CLEAR, Jacob;44.51;1:33.23;2:23.49;3:13.931;2;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:10;SEN;M;RUS;6;MEDVEDEV, Ilya ;RYAKHOV, Anton;44.73;1:35.06;2:25.99;3:16.373;3;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:10;SEN;M;LTU;3;NEKRIOSIUS, Ricardas;OLIJNIK, Andrej;45.50;1:36.32;2:27.82;3:18.099;4;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:10;SEN;M;CZE;8;ŠPICAR, Jakub;ŠLOUF, Radek;46.00;1:36.31;2:28.06;3:18.353;5;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:10;SEN;M;EST;2;ALUPERE, Kaarel;TOOTSI, Tarmo;45.96;1:37.06;2:29.39;3:18.551;6;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:10;SEN;M;ARG;7;DE GESÚS, Juan Pablo;CARRERAS, Gonzalo;45.42;1:36.31;2:28.57;3:18.952;7;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:10;SEN;M;SWE;9;HEMSELIUS, Daniel;NATHELL, Martin;45.51;1:37.25;2:32.56;3:25.689;8;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:10;SEN;M;CUB;1;ZULUETA ARENCIBIA, Maikel;GARCIA RODRIGUEZ, Jorge A;43.52;1:36.37;2:33.32;3:25.904;9;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
;;;;;;;;;;;;;;;;;;
29.08.2013;DUISBURG;17:24;SEN;M;GER;5;RENDSCHMIDT, Max;GROSS, Marcus;44.78;1:35.49;2:27.22;3:16.153;1;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:24;SEN;M;SVK;6;VLCEK, Erik;TARR, Juraj;45.60;1:36.86;2:28.22;3:17.360;2;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:24;SEN;M;HUN;4;Dombi Rudolf;Kökény Roland;45.59;1:36.23;2:28.46;3:18.553;3;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:24;SEN;M;SRB;7;PAJIC, Dejan;STANOJEVIC, Dusko;46.01;1:37.18;2:29.10;3:19.262;4;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:24;SEN;M;ESP;3;COSGAYA NORIEGA, Diego;PEREZ RIAL, Carlos;45.63;1:37.22;2:30.42;3:22.068;5;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:24;SEN;M;DEN;8;KERRN, Mads Herbert;SIMENSEN, Emil Staer;47.34;1:39.36;2:33.39;3:24.436;6;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:24;SEN;M;FIN;9;HAKALA, Jeremy;NYKÄNEN, Miika;47.14;1:39.70;2:33.79;3:24.642;7;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
29.08.2013;DUISBURG;17:24;SEN;M;NOR;1;SOLHAUG, Jo Sondre;SALBU, Daniel;46.49;1:39.17;2:33.54;3:27.030;8;;0,7 m/s;W;WORLD CHAMP;SEMIFINAL
;;;;;;;;;;;;;;;;;;
31.08.2013;DUISBURG;12:16;SEN;M;LTU;5;NEKRIOSIUS, Ricardas;OLIJNIK, Andrej;46.42;1:36.72;2:27.46;3:17.949;1;;1,3 m/s;SW;WORLD CHAMP;FINAL B
31.08.2013;DUISBURG;12:16;SEN;M;UKR;6;KOPYSTYNSKYI, Roman;BASHTOVYY, Serhiy;46.46;1:37.21;2:29.35;3:18.543;2;;1,3 m/s;SW;WORLD CHAMP;FINAL B
31.08.2013;DUISBURG;12:16;SEN;M;SRB;4;PAJIC, Dejan;STANOJEVIC, Dusko;45.72;1:35.61;2:27.46;3:18.869;3;;1,3 m/s;SW;WORLD CHAMP;FINAL B
31.08.2013;DUISBURG;12:16;SEN;M;CAN;1;VAN KOEVERDEN, Adam;REARDON, Brady;47.07;1:37.74;2:28.79;3:19.029;4;;1,3 m/s;SW;WORLD CHAMP;FINAL B
31.08.2013;DUISBURG;12:16;SEN;M;CZE;7;ŠPICAR, Jakub;ŠLOUF, Radek;47.16;1:36.80;2:28.68;3:20.024;5;;1,3 m/s;SW;WORLD CHAMP;FINAL B
31.08.2013;DUISBURG;12:16;SEN;M;EST;2;ALUPERE, Kaarel;TOOTSI, Tarmo;47.23;1:38.38;2:30.76;3:21.423;6;;1,3 m/s;SW;WORLD CHAMP;FINAL B
31.08.2013;DUISBURG;12:16;SEN;M;ESP;8;COSGAYA NORIEGA, Diego;PEREZ RIAL, Carlos;46.38;1:36.77;2:29.82;3:22.469;7;;1,3 m/s;SW;WORLD CHAMP;FINAL B
31.08.2013;DUISBURG;12:16;SEN;M;MEX;3;LABRADA REINOSA, Osvaldo;MONTALVO GARCIA, Carlos;46.37;1:38.64;2:32.77;3:23.313;8;;1,3 m/s;SW;WORLD CHAMP;FINAL B
31.08.2013;DUISBURG;12:16;SEN;M;DEN;9;KERRN, Mads Herbert;SIMENSEN, Emil Staer;48.02;1:39.19;2:32.97;3:24.582;9;;1,3 m/s;SW;WORLD CHAMP;FINAL B
;;;;;;;;;;;;;;;;;;
31.08.2013;DUISBURG;15:46;SEN;M;GER;6;RENDSCHMIDT, Max;GROSS, Marcus;46.98;1:38.53;2:31.83;3:22.331;1;;1,7 m/s;W;WORLD CHAMP;FINAL A
31.08.2013;DUISBURG;15:46;SEN;M;BLR;5;MIADZVEDZEU, Pavel;YURENIA, Aleh;47.51;1:38.39;2:31.02;3:23.002;2;;1,7 m/s;W;WORLD CHAMP;FINAL A
31.08.2013;DUISBURG;15:46;SEN;M;HUN;9;Dombi Rudolf;Kökény Roland;48.04;1:39.42;2:32.55;3:23.021;3;;1,7 m/s;W;WORLD CHAMP;FINAL A
31.08.2013;DUISBURG;15:46;SEN;M;POL;7;SZANDRACH, Pawel;KUJAWSKI, Mariusz;48.68;1:40.10;2:32.78;3:23.480;4;;1,7 m/s;W;WORLD CHAMP;FINAL A
31.08.2013;DUISBURG;15:46;SEN;M;AUS;3;STEWART, Murray;CLEAR, Jacob;48.12;1:39.12;2:31.90;3:24.256;5;;1,7 m/s;W;WORLD CHAMP;FINAL A
31.08.2013;DUISBURG;15:46;SEN;M;BEL;4;CAUWENBERGH, Olivier ;PANNECOUCKE, Laurens;48.98;1:40.28;2:33.65;3:25.440;6;;1,7 m/s;W;WORLD CHAMP;FINAL A
31.08.2013;DUISBURG;15:46;SEN;M;POR;1;SILVA, Emanuel;RIBEIRO, João;47.42;1:40.09;2:34.50;3:25.859;7;;1,7 m/s;W;WORLD CHAMP;FINAL A
31.08.2013;DUISBURG;15:46;SEN;M;RUS;8;MEDVEDEV, Ilya ;RYAKHOV, Anton;48.88;1:40.95;2:33.96;3:26.054;8;;1,7 m/s;W;WORLD CHAMP;FINAL A
31.08.2013;DUISBURG;15:46;SEN;M;SVK;2;VLCEK, Erik;TARR, Juraj;48.14;1:40.35;2:33.81;3:27.187;9;;1,7 m/s;W;WORLD CHAMP;FINAL A
;;;;;;;;;;;;;;;;;;
16.05.2014;RACICE;11:05;SEN;M;GER;8;RENDSCHMIDT Max;GROSS Marcus;47.650;1:36.030;2:28.130;3:21.602;1;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:05;SEN;M;FRA;3;HYBOIS Arnaud;HUBERT Etienne;49.140;1:36.750;2:31.540;3:25.250;2;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:05;SEN;M;HUN;4;JANZA Richárd;KORONDY Tamás;50.680;1:41.100;2:34.860;3:26.155;3;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:05;SEN;M;GBR;6;BOYTON Jonathan;RUTHERFORD Edward;51.630;1:44.360;2:35.470;3:26.464;4;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:05;SEN;M;CAN;2;CLARKE Rob;JESSOP Andrew;48.250;1:38.480;2:33.870;3:28.419;5;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:05;SEN;M;TUR;5;GYÖKÖS Layos;MARQUES Carlos;52.340;1:41.650;2:38.100;3:28.952;6;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:05;SEN;M;BEL;1;BROEKX Toon;BROEKX Piet;49.880;1:40.370;2:37.330;3:29.327;7;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:05;SEN;M;SIN;7;TAY Zi Qiang;LEE Wei Liang, Bill;53.030;1:50.140;2:45.310;3:53.857;8;13;;;WORLD CUP;HEAT
;;;;;;;;;;;;;;;;;;
16.05.2014;RACICE;11:12;SEN;M;SVK;8;KRAJÈOVIÈ Marek;JAKUBÍK Gábor;47.220;1:36.120;2:28.910;3:23.010;1;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:12;SEN;M;ARG;6;DAL BO Daniel;CARRERAS Gonzalo;48.480;1:38.850;2:31.900;3:26.356;2;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:12;SEN;M;IRI;4;AGHAMIRZAEIJENAGHRAD Ali;FAZLOULA Saeid;52.510;1:43.290;2:36.730;3:27.831;3;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:12;SEN;M;FIN;5;HAKALA Jeremy;NYKÄNEN Miika;51.620;1:41.330;2:35.130;3:27.924;4;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:12;SEN;M;KAZ;2;ALEXEYEV Yevgeniy;DERGUNOV Alexey;50.790;1:43.970;2:39.610;3:35.300;5;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:12;SEN;M;CZE;3;ŠPICAR Jakub;ŠLOUF Radek;;;;;6;13;;;WORLD CUP;HEAT
;;;;;;;;;;;;;;;;;;
16.05.2014;RACICE;11:19;SEN;M;SVK;6;VLÈEK Erik;TARR Juraj;50.060;1:39.180;2:32.630;3:20.906;1;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:19;SEN;M;RUS;1;LUCHKIN Kirill;NIKOLAEV Pavel;49.300;1:38.410;2:33.170;3:22.194;2;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:19;SEN;M;CZE;2;ADAM Jakub;TREFIL Lukáš;51.740;1:41.110;2:34.010;3:26.594;3;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:19;SEN;M;ARG;5;CÁCERES Juan Ignacio;DE TORRES Pablo;48.730;1:40.760;2:35.220;3:27.309;4;13;;;WORLD CUP;HEAT
16.05.2014;RACICE;11:19;SEN;M;CAN;4;REARDON Brady;DUCHESNEAU Phillipe;50.690;1:42.130;2:35.670;3:28.775;5;13;;;WORLD CUP;HEAT
;;;;;;;;;;;;;;;;;;
16.05.2014;RACICE;15:34;SEN;M;FRA;5;HYBOIS Arnaud;HUBERT Etienne;51.110;1:40.620;2:35.970;3:27.566;1;13;13;;WORLDCUP;SEMIFINAL
16.05.2014;RACICE;16:34;SEN;M;CZE;6;ADAM Jakub;TREFIL Lukáš;52.140;1:42.800;2:36.540;3:29.305;2;13;13;;WORLDCUP;SEMIFINAL
16.05.2014;RACICE;17:34;SEN;M;KAZ;2;ALEXEYEV Yevgeniy;DERGUNOV Alexey;49.110;1:40.980;2:37.300;3:29.990;3;13;13;;WORLDCUP;SEMIFINAL
16.05.2014;RACICE;18:34;SEN;M;GBR;7;BOYTON Jonathan;RUTHERFORD Edward;54.110;1:45.640;2:39.830;3:30.734;4;13;13;;WORLDCUP;SEMIFINAL
16.05.2014;RACICE;19:34;SEN;M;IRI;4;AGHAMIRZAEIJENAGHRAD Ali;FAZLOULA Saeid;57.010;1:44.220;2:40.680;3:33.462;5;13;13;;WORLDCUP;SEMIFINAL
16.05.2014;RACICE;20:34;SEN;M;TUR;1;GYÖKÖS Layos;MARQUES Carlos;56.220;1:44.830;2:41.690;3:34.537;6;13;13;;WORLDCUP;SEMIFINAL
16.05.2014;RACICE;21:34;SEN;M;ARG;3;CÁCERES Juan Ignacio;DE TORRES Pablo;50.100;1:41.700;2:39.090;3:35.140;7;13;13;;WORLDCUP;SEMIFINAL
;;;;;;;;;;;;;;;;;;
16.05.2014;RACICE;15:41;SEN;M;RUS;4;LUCHKIN Kirill;NIKOLAEV Pavel;50.430;1:39.300;2:31.810;3:24.991;1;13;13;;WORLDCUP;SEMIFINAL
16.05.2014;RACICE;15:41;SEN;M;ARG;5;DAL BO Daniel;CARRERAS Gonzalo;54.030;1:42.900;2:35.690;3:25.897;2;13;13;;WORLDCUP;SEMIFINAL
16.05.2014;RACICE;15:41;SEN;M;CAN;7;CLARKE Rob;JESSOP Andrew;52.510;1:40.850;2:35.030;3:26.408;3;13;13;;WORLDCUP;SEMIFINAL
16.05.2014;RACICE;15:41;SEN;M;HUN;6;JANZA Richárd;KORONDY Tamás;54.970;1:43.930;2:38.390;3:27.154;4;13;13;;WORLDCUP;SEMIFINAL
16.05.2014;RACICE;15:41;SEN;M;CAN;2;REARDON Brady;DUCHESNEAU Phillipe;51.300;1:41.930;2:37.810;3:27.295;5;13;13;;WORLDCUP;SEMIFINAL
16.05.2014;RACICE;15:41;SEN;M;FIN;3;HAKALA Jeremy;NYKÄNEN Miika;56.380;1:44.710;2:39.210;3:29.854;6;13;13;;WORLDCUP;SEMIFINAL
