Date;Place;Time;Category;Sex;Country;Lane;Person 1;Person 2;split time 1;split time 2;split time 3;Total Time;Final Rank;Air Temp;Wind Speed;Wind Direction;Competiton Type;Competition Round
1.06.2013;Poznan;11:09;SEN;M;SWE;8;HEMSELIUS DANIEL;BARSK JOHANNES;;;;3:25.796;7;17;1 m/s;W;WORLD CUP;FINAL A
1.06.2013;Poznan;11:09;SEN;M;ARG;9;DE GESUS JUAN PABLO;CARRERAS GONZALO;;;;3:26.520;8;17;1 m/s;W;WORLD CUP;FINAL A
1.06.2013;Poznan;11:09;SEN;M;FRA;1;BURGER GUILLAUME;URBAN QUENTIN;;;;3:28.956;9;17;1 m/s;W;WORLD CUP;FINAL A
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;1;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;10:58;SEN;M;RUS;5;SPESIVTSEV Maxim;CHERVOV Nikolay;51.150;1:28.780;2:30.910;0,15255787;2;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;10:58;SEN;M;SRB;9;PAJIC Dejan;STANOJEVIC Dusko;48.740;1:38.430;2:33.820;0,148622685;3;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;10:58;SEN;M;CZE;7;ADAM Jakub;ODVÁRKO Michael;1:05.060;1:41.390;2:35.350;0,14619213;4;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;10:58;SEN;M;GBR;8;RUTHERFORD Edward;DANIELS Andrew;50.070;1:41.930;2:38.700;3:32.741;5;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;10:58;SEN;M;NZL;4;FITZGERALD Jarrod;QUICKENDEN Zac;;1:43.980;2:41.190;3:38.491;6;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;10:58;SEN;M;KGZ;2;PAROL Aleksandr;DOROFEEV Igor;1:10.140;1:45.980;2:45.080;3:43.011;7;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;10:58;SEN;M;CHN;6;XUE Yuan;ZHAO Yuefeng;1:14.200;1:52.000;2:47.770;3:45.461;8;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;10:58;SEN;M;HKG;3;KWOK Ka Wai;NG Ka Chun;1:12.100;1:48.650;2:55.240;3:59.871;;;;;;
;;;;;;;;;;;;;1;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:05;SEN;M;CZE;7;DAVÍDEK Pavel;KUČERA Patrik;51.110;1:39.820 ;2:33.830;3:26.541;2;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:05;SEN;M;NZL;4;BATS Jasper;FITZGERALD Darryl;49.890;1:41.540;2:34.650;3:32.961;3;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:05;SEN;M;RUS;5;MEDVEDEV Ilya;RYAKHOV Anton;50.570;1:40.670;2:33.230;3:33.661;4;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:05;SEN;M;GBR;8;BOWLEY Mathew;TERRY Dean;52.460;1:44.460;2:38.830;3:34.751;5;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:05;SEN;M;KGZ;2;BONDAR Maksim;ALGIN Ilia;51.750;1:45.790;2:41.560;3:42.021;6;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:05;SEN;M;CHN;6;LI Kai;LIU Lifan;54.010;1:49.790;2:49.330;3:49.561;7;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:05;SEN;M;HKG;3;TSOI Yik San;NG Ka Nam;53.210;1:51.260;2:52.170;3:54.941;8;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:05;SEN;M;SRB;9;HOLPERT Ervin;TERZIC Dejan;54.770;1:53.170;2:58.280;4:04.431;;;;;;
;;;;;;;;;;;;;1;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:12;SEN;M;CAN;1;VAN KOEVERDEN ADAM;REARDON BRADY;48.950;1:36.000;2:30.950;3:24.371;2;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:12;SEN;M;GER;4;RENDSCHMIDT Max;GROSS Marcus;47.400;1:35.530;2:30.580;3:25.011;3;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:12;SEN;M;KAZ;74;DERGUNOV ALEXEY;ALEXEYEV YEVGENIY;49.700;1:41.050;2:36.190;3:26.631;4;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:12;SEN;M;LTU;6;NEKRIOSIUS Ricardas;OLIJNIK Andrej;51.310;1:40.130;2:34.510;3:26.851;5;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:12;SEN;M;BLR;2;ZHYHADLA Dzianis;BIALKO Vitaliy;56.810;1:42.080;2:35.820;3:29.001;6;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:12;SEN;M;NOR;5;SALBU Daniel;SOLHAUG Jo Sondre;50.480;1:38.860;2:32.820;3:34.101;7;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:12;SEN;M;ITA;3;CECCHINI Riccardo;CHIERINI Edoardo;48.260;1:43.840;2:43.900;3:43.641;8;18;;E;WORLD CUP;HEAT
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;1;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:19;SEN;M;FRA;5;BURGER GUILLAUME;URBAN QUENTIN;47.660;1:34.370 ;2:32.570;3:23.411;2;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:19;SEN;M;CAN;1;CLARKE ROB;JESSOP ANDREW;49.220;1:39.510;2:34.240;3:24.631;3;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:19;SEN;M;DEN;7;BOE Niels;AXELSEN William;52.260;1:38.570;2:33.560;3:25.201;4;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:19;SEN;M;BLR;2;LIAPIOSHKA Aliksandr;LITVINCHUK Artur;50.750;1:40.920;2:35.320;3:29.581;5;18;;E;WORLD CUP;HEAT
17.05.2013;RACICE;11:19;SEN;M;BEL;3;BROEKX Toon;BROEKX Piet;51.430;1:41.550;2:36.950;3:30.771;6;18;;E;WORLD CUP;HEAT
